retailer,name,address,region,postal_code,latitude,longitude,maps_url,is_active,fase,casa_loy_blanco,casa_loy_reposado,casa_loy_cristalino,casa_loy_anejo,casa_loy_piedra_y_agave_blanco,taddel_plata,taddel_reposado,taddel_cristalino,tierra_zafiro_blanco,tierra_zafiro_blanco_100_pure,tierra_zafiro_reposado,tierra_zafiro_cristalino,creado_en,casa_loy_piedra_y_agave_reposado,pdv,cdc,cl,td,tz
CONSUVINO,LOPEZ MATEOS,"Av. Adolfo López Mateos Sur 6184, Nueva Galicia, Los Gavilanes, 45645 Los Gavilanes, Jal.",mx,45645,20.573795,-103.4542266,https://maps.app.goo.gl/xoHsBekv61pRzuu97,true,Julio Sanchez,true,true,true,true,true,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,LOPEZ MATEOS 2,"Av. Adolfo López Mateos Sur 401, El Mante, 45235 Zapopan, Jal.",mx,45235,20.6085744,-103.4306997,https://maps.app.goo.gl/5VweNWs7W6gJSGs9A,true,Julio Sanchez,true,true,true,true,true,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,PATRIA TLAQUEPAQUE,"Av. Patria 138, Residencial La Soledad, 45525 San Pedro Tlaquepaque, Jal.",mx,45525,20.635355,-103.284469,https://maps.app.goo.gl/MQMEmYa9fdNHHTfU6,true,Julio Sanchez,true,true,true,false,false,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,PATRIA Y OTERO,"Av. Patria 3043, Colli Urbano, 45070 Zapopan, Jal.",mx,45070,20.6391693,-103.4191501,https://maps.app.goo.gl/BgEw8UvyKEXA17yr8,true,Julio Sanchez,true,true,true,true,true,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,LAPIZLAZULI,"Av Lapizlózuli & Calle Esmeralda, Victoria, 44560 Guadalajara, Jal.",mx,44560,20.6425804,-103.395815,https://maps.app.goo.gl/jQe5dYk35qfBptMv6,true,Julio Sanchez,true,true,true,true,false,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,REVOLUCIóN 2,"Calz. Revolución 2890, Jardines de la Paz, 44860",mx,44860,20.6450741,-103.3045365,https://maps.app.goo.gl/a6J1XRvBB48VvybY8,true,Julio Sanchez,true,true,true,true,true,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,REVOLUCIóN,"Calz. Revolución 1709, La Loma, 44800 Guadalajara,",mx,44800,20.6572777,-103.3197682,https://maps.app.goo.gl/kdmVsgnn3foVfo376,true,Julio Sanchez,true,true,true,true,true,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,CLOUTHIER,"Planta baja, Esq. Santo Tomas de Aquino, Av Manuel J. Clouthier # 559, Jardines de Guadalupe, 45030 Zapopan, Jal.",mx,45030,20.6665979,-103.4190743,https://maps.app.goo.gl/19hXHtfpUtzRx1Cu5,true,Julio Sanchez,true,true,false,false,true,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,CHAPALITA,"Av Guadalupe 600, Chapalita, 44500 Guadalajara, Jal.",mx,44500,20.6666954,-103.3984818,https://maps.app.goo.gl/wyLMbwedVJcVWVaE8,true,Julio Sanchez,true,true,true,true,true,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,ESTEBAN ALATORRE,"C. Esteban Alatorre 897, San Juan de Dios, 44360 Guadalajara, Jal.",mx,44360,20.6809117,-103.3263834,https://maps.app.goo.gl/FzoxNeQ1aXrtt2Qh8,true,Julio Sanchez,false,false,false,false,false,true,true,false,true,false,true,true,,false,true,false,,,
CONSUVINO,OBLATOS,"Av Artesanos 1123, Circunvalación Oblatos, 44716 Guadalajara, Jal.",mx,44716,20.6859876,-103.2948146,https://maps.app.goo.gl/39xJvCkJy841vv5P8,true,Julio Sanchez,true,true,true,true,false,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,NACIONES UNIDAS,"Esquina, Av Patria, Av Naciones Unidas 573 A, Jardines Universidad, 45110 Zapopan, Jal.",mx,45110,20.687548,-103.4202559,https://maps.app.goo.gl/CJh8KwekdrhbnrdS6,true,Julio Sanchez,true,true,true,true,true,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,JUAN PALOMAR,"Av. Juan Palomar y Arias 645, Vallarta Universidad, 45110 Zapopan, Jal.",mx,45110,20.6897031,-103.4272233,https://maps.app.goo.gl/6JRfADsVXhhbSJBc8,true,Julio Sanchez,true,true,true,true,true,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,PROVIDENCIA,"C. Alberta 1505, Providencia 4a. Secc, 44639 Guadalajara, Jal.",mx,44639,20.6981213,-103.3844793,https://maps.app.goo.gl/vvLVrZqtYtHy7ohe6,true,Julio Sanchez,true,true,true,true,true,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,TRANSITO,"Av. Cvln. División del Nte. 1027 B, La Guadalupana, 44220 Guadalajara, Jal.",mx,44220,20.7049465,-103.3480348,https://maps.app.goo.gl/9tXuCMktBmhbxnBr9,true,Julio Sanchez,true,true,true,true,false,false,false,false,true,false,true,true,,false,true,false,,,
CONSUVINO,ARANDAS,"C. Morelos 223, 47183 Arandas, Jal.",mx,47183,20.7059474,-102.3410369,https://maps.app.goo.gl/iPKxX7LDcTNfxjiFA,true,Julio Sanchez,true,true,true,true,true,false,false,true,false,false,false,false,,false,true,false,,,
CONSUVINO,AUTOCINEMA,"Av. Patria 852, Autocinema, 44230 Guadalajara, Jal.",mx,44230,20.7155436,-103.3424959,https://maps.app.goo.gl/RdG1LJ7Y2Z6gVeZf7,true,Julio Sanchez,false,false,false,false,false,true,false,false,true,false,false,false,,false,true,false,,,
CONSUVINO,SERVIDOR PUBLICO,"Av. del Servidor Póblico 1262-Loc 1, Jardines del Valle, 45138 Zapopan, Jal.",mx,45138,20.738692,-103.430535,https://maps.app.goo.gl/VYwWeQqBQYctGutz8,true,Julio Sanchez,true,true,true,false,false,false,false,true,true,false,true,true,,false,true,false,,,
CONSUVINO,TABACHINES,"Av. de los Tabachines 3063, Tabachines, 45188 Zapopan, Jal.",mx,45188,20.7407269,-103.3639859,https://maps.app.goo.gl/ec4ryLCib1txYUsv5,true,Julio Sanchez,,false,false,false,false,false,false,false,false,false,false,true,,false,true,false,,,
CONSUVINO,AVIACIóN,"45160, Av. Base Aerea 1639, El Trióngulo, 45138 Nuevo Móxico, Jal.",mx,45138,20.747568,-103.4443809,https://maps.app.goo.gl/CL124rjn13n7y7rJ8,true,Julio Sanchez,true,true,true,false,false,false,false,true,true,false,true,false,,false,true,false,,,
Corazon Partío ,,"Plaza Agora, Antiguo Camino Villa de Santiago 480-3erpiso, Las Diligencias CP 64987, Monterrey nl",mx,64987,25.5667459,-100.2388083,https://maps.app.goo.gl/CX7P9oxfHMiEFMcn6,true,Alejandro Carranza,false,false,true,false,false,true,false,true,false,false,false,false,,false,false,true,,,
Destilados LB,,"Ignacio Allende 920-L4, Centro 64000, Monterrey NL",mx,64000,25.6692963,-100.3092038,https://maps.app.goo.gl/25b2XjpSunU8ZNTN9,true,Alejandro Carranza,true,false,true,false,false,true,true,true,true,false,true,false,,false,true,false,,,
El Burro Viejo,El Burro Viejo,"De los Altos 47, Madre Nati, 45420 La Laja, Jal.",mx,45420,20.5819226,-103.1234297,https://maps.app.goo.gl/MhstZ21XM2GW91bNA,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
El Eden,Central de Abastos,Abarrotes y Viveres 311 Col. Area Federal Central de Abastos Iztapalapa,mx,09040,19.3739902,-99.0902692,https://maps.app.goo.gl/7N1v7nDGKhGuDHsp7,true,Victor Curiel,true,false,true,false,false,true,true,true,true,false,true,true,,false,true,false,,,
EL GALLO,,"Lib. a Lagos de Moreno 100, Lindavista, 47127 Jalostotitlón, Jal.",mx,47127,21.1691869,-102.4734696,https://maps.app.goo.gl/XcdZRb6u2RiY5MaP7,true,Julio Delgado,true,false,true,false,false,false,false,false,true,false,false,false,,false,true,false,,,
El seÃ±or rooftop,,"Ignacio Allende 920-Int Piso19, Centro 64000, Monterrey NL",mx,64000,25.6692748,-100.309229,https://maps.app.goo.gl/BE3xiT6ApUviCKRg8,true,Alejandro Carranza,false,false,false,false,false,true,false,false,false,false,true,false,,false,false,true,,,
Hi Cantarito,,"Carr Nacional Km 249, San Javier, 67300 Santiago, N.L.",mx,67300,25.4161317,-100.1438844,https://maps.app.goo.gl/usreZjsSnz7r9VVG8,true,Alejandro Carranza,false,false,false,false,false,true,true,false,false,false,false,false,,false,false,true,,,
La Baronesa,,"Jose Maria Morelos Ote821, Barrio Antiguo, Centro CP 64000, Monterrey NL",mx,64000,25.6669107,-100.3087255,https://maps.app.goo.gl/WwKjTrpbWmssVNiy7,true,Alejandro Carranza,false,false,true,false,false,true,false,true,false,false,false,false,,false,false,true,,,
La Barra 1910,,"Mariano Matamoros 430, Cabecera Municipal , Apodaca Centro CP 66600",mx,66600,25.7813778,-100.1884816,https://maps.app.goo.gl/MmNDtUoowYMCiP6r5,true,Alejandro Carranza,false,false,false,false,false,false,true,false,false,false,false,false,,false,false,true,,,
La Casa del vino,,"Av. Eugenio Garza Sada Sur 2866, Altavista, Distrto Tec CP 64840, Monterrey NL",mx,64840,25.6454529,-100.291472,https://maps.app.goo.gl/S3yV3nxQr3rsGLwz8,true,Alejandro Carranza,true,true,true,true,true,true,true,true,true,false,true,false,,false,true,false,,,
LA CASATELLANA,HUAYACAN,"Zona Comercial Palmaris, Av Huayacán Lte 61, Av Huayacán SM 310, 77560 Cancún, Q.R.",mx,77560,21.1128619,-86.8539863,https://maps.app.goo.gl/QqYRtYPSodfk4Zyv5,true,Jose Zarate,true,false,true,true,false,false,false,false,false,false,false,false,,false,true,false,,,
La Castellana ,Valle,"Calz. Del Valle 350, Del Valle, CP 66220, San Pedro NL",mx,66220,25.6546431,-100.3670689,https://maps.app.goo.gl/MbNCqakahXQnLihh8,true,Alejandro Carranza,true,false,true,false,true,true,true,true,true,false,true,false,,false,true,false,,,
