id,retailer,name,address,phone,region,postal_code,latitude,longitude,maps_url,is_active,created_at,kam,brands,categories
,Mariscos Los Arbolitos de Cajeme,Cumbres,"Av. Paseo de los Leones 1549, Cumbres 1°sec, CP 64610, Monterrey NL",,mx,64610,,,"https://www.google.com/maps/place/Mariscos+Los+Arbolitos+de+Cajeme+-+Cumbres/@25.6995808,-100.3640982,17z/data=!3m1!4b1!4m6!3m5!1s0x8662978dbd815ea1:0x55cd61296cefa193!8m2!3d25.699576!4d-100.3615233!16s%2Fg%2F11shk5kg2j?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,Mariscos Los Arbolitos de Cajeme,San Agustín,"Av. Batallón de San Patricio 1000, Residencial San Agustín 1° sec, CP 66260 San Pedro Nl",,mx,66260,,,"https://www.google.com/maps/place/Mariscos+Los+Arbolitos+de+Cajeme+-+San+Agust%C3%ADn/@25.6495075,-100.3380033,17z/data=!3m1!4b1!4m6!3m5!1s0x8662be6cdbe984d3:0xcee0507304d04b2a!8m2!3d25.6495027!4d-100.3354284!16s%2Fg%2F11b6dllfzy?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,Via Ditalia ,Satelite,"P° del Acueducto 101, Acueducto Satelite CP 64960, Monterrey",,mx,64960,,,"https://www.google.com/maps/place/Via+Ditalia/@25.6036429,-100.2769816,17z/data=!3m1!4b1!4m6!3m5!1s0x8662bfe858abe663:0xc77acf190f5087d2!8m2!3d25.6036381!4d-100.2744067!16s%2Fg%2F11tcc58py_?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,Via Ditalia ,Vista Hermosa ,"Canadá 333, Vista Hermosa, CP 64620, Monterrey NL",,mx,64620,,,"https://www.google.com/maps/place/Via+Ditalia-+Vista+Hermosa/@25.6908699,-100.3584405,17z/data=!3m2!4b1!5s0x866296f91e2aaa53:0xfaddcaf77a2a7f2c!4m6!3m5!1s0x86629785b7dedccb:0x1ade4413111d8949!8m2!3d25.6908651!4d-100.3558656!16s%2Fg%2F11sv9y16b_?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,La Barra 1910,,"Mariano Matamoros 430, Cabecera Municipal , Apodaca Centro CP 66600",,mx,66600,,,"https://www.google.com/maps/place/La+Barra+1910/@25.7813778,-100.1884816,17z/data=!3m1!4b1!4m6!3m5!1s0x8662ec09f51bc511:0xa69ec74670eab910!8m2!3d25.781373!4d-100.1859067!16s%2Fg%2F11b6zp53z_?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,La Industrial Steakhouse,,"Av. Paseo de los Leones 1596, Cumbres 1°sec, CP 64610 Monterrey NL
",,mx,64610,,,"https://www.google.com/maps/place/La+Industrial+Steakhouse/@25.6996338,-100.3654989,17z/data=!3m2!4b1!5s0x866296303afe056d:0xd070a13efa93fc7e!4m6!3m5!1s0x8662974f151c7ca7:0xaad47f69a133a6ad!8m2!3d25.699629!4d-100.362924!16s%2Fg%2F11f9j8ht4x?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,Club19,,"Antiguo camino a villa de Santiago 1190, Sin Nombre Col51, CP 64989, Monterrey NL",,mx,64989,,,"https://www.google.com/maps/place/Club+19/@25.5678147,-100.2379123,17z/data=!3m1!4b1!4m6!3m5!1s0x8662c7001edb1aa5:0x3688a3a9b1e45ff0!8m2!3d25.5678099!4d-100.2353374!16s%2Fg%2F11y_s2qCP n?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,El señor rooftop,,"Ignacio Allende 920-Int Piso19, Centro 64000, Monterrey NL",,mx,64000,,,"https://www.google.com/maps/place/El+Se%C3%B1or+Rooftop/@25.6692748,-100.309229,17z/data=!3m1!4b1!4m6!3m5!1s0x8662bf5f73d05b47:0x41829d02df7e12bb!8m2!3d25.66927!4d-100.3066541!16s%2Fg%2F11vcfrtmt7?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,La Fundación Norestense,,"Blvrd Julian Treviño Elizondo 200, Plaza Las Castañas CP 66634, Apodaca Nl",,mx,66634,,,"https://www.google.com/maps/place/La+Fundaci%C3%B3n+Norestense/@25.7469338,-100.1995209,17z/data=!3m1!4b1!4m6!3m5!1s0x8662eb007ee1894f:0xda647a677e576228!8m2!3d25.746929!4d-100.196946!16s%2Fg%2F11z4172h39?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,Hi Cantarito,,"Carr Nacional Km 249, San Javier, 67300 Santiago, N.L.",,mx,67300,,,"https://www.google.com/maps/place/HI+CANTARITO/@25.4161317,-100.1438844,17z/data=!3m1!4b1!4m6!3m5!1s0x8662cfd84a6b645b:0xe6bf753ca2934e28!8m2!3d25.4161269!4d-100.1413095!16s%2Fg%2F11nc6yqzg5?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,Clamateria El Rey ,Cumbres,"Av. Raul Rangel Frias, Burocratas del Estado CP 64610, Monterrey NL",,mx,64610,,,"https://www.google.com/maps/place/Clamateria+El+Rey+cumbres/@25.7043112,-100.3723611,17z/data=!3m1!4b1!4m6!3m5!1s0x8662970056a965b9:0x9d8ade2b48f2a6c5!8m2!3d25.7043064!4d-100.3697862!16s%2Fg%2F11yfjgvsgh?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
